CBDmax_mean;CBDmax_std;THCmax_mean;THCmax_std;LeaflyStrain;Effects__Aroused;Effects__Creative;Effects__Energetic;Effects__Euphoric;Effects__Focused;Effects__Giggly;Effects__Happy;Effects__Hungry;Effects__Relaxed;Effects__Sleepy;Effects__Talkative;Effects__Tingly;Effects__Uplifted;Medical__Cramps;Medical__Depression;Medical__Eye Pressure;Medical__Fatigue;Medical__Headaches;Medical__Inflammation;Medical__Insomnia;Medical__Lack of Appetite;Medical__Muscle Spasms;Medical__Nausea;Medical__Pain;Medical__Seizures;Medical__Spasticity;Medical__Stress;Negatives__Anxious;Negatives__Dizzy;Negatives__Dry Eyes;Negatives__Dry Mouth;Negatives__Headache;Negatives__Paranoid
0.183677086;0.210723636;24.43189854;18.45504954;white-elephant;;;;88.99082569;;;17.43119266;;100;9.174311927;;;10.09174312;;85.71428571;57.14285714;;71.42857143;;42.85714286;;;;;;;100;;20;;100;;
0.107865;0.063362014;33.62802586;21.35043748;white-fire-43;;;;92.96430419;;47.0253492;49.19813761;;100;98.55147439;;;;;6;;;;;100;4;;;99;;;7;;2.788844622;94.42231076;100;37.4501992;37.4501992
0.488105378;1.128745096;33.30582034;20.53396018;white-fire-alien-og;;;;46.42596403;;;72.3368952;;100;;;35.68726356;55.5452313;;59.96137275;;;84.40053484;;54.6575546;;;;100;;;85.27707621;;12.72925085;13.24215107;100;11.1905502;12.72925085
0.366534231;2.149652435;29.52252565;17.25435606;white-fire-og;;73.00403313;;100;;;89.00971421;;94.7471703;;;;77.11414198;;100;;48.13066249;;;;42.60866241;;;68.8252609;;;95.6821744;31.00332858;;41.44872405;100;22.48533841;34.20827389
0.200843191;0.261568188;26.67416934;18.90397603;white-gold;;;;46.1117122;54.23316202;;75.11495807;;100;;;;62.53719232;;79.00513365;;;;;;72.1543636;;57.86864932;39.36979996;;;100;27.23692502;5.056710775;55.51354757;100;;27.75677379
0.3958929;0.231199845;25.2044135;12.88523523;white-gorilla;;;;93.96551724;;60.34482759;93.96551724;;100;;;;82.54310345;;34.7826087;;;;;82.60869565;;28.98550725;;34.7826087;;;100;;25.42372881;100;6.779661017;4.519774011;6.779661017
0.05;0;21.07;0;white-haze;;35.37414966;34.24036281;;;;34.24036281;;85.71428571;;;;100;;81.92771084;;81.92771084;;;;69.87951807;;69.87951807;;;;100;;;1.187648456;100;1.187648456;
0.204;0.337757309;22.4297;3.628154662;white-kush;;41.19339755;;;;;54.16650014;;100;98.7770273;;40.58191119;;;;;;;;100;;44.88683222;;89.33382205;;40.24099698;60.6936681;6.153222537;13.96027564;20.16214025;100;;7.39359546
0.304533651;0.362770645;27.60933714;20.17282994;white-lavender;;74.9572162;;87.27895037;;;100;82.71534512;;;75.35653166;;;;93.17406143;;;;70.30716724;;65.18771331;;;100;;;98.29351536;30.09708738;30.09708738;39.80582524;100;9.708737864;
0.809554;1.889423561;19.71995067;12.16189859;white-lightning;58.33525834;34.05328405;;;;;79.77207977;;100;;;;47.48594749;;94.72292481;;83.06507243;;;85.99678087;;;;94.72292481;;;100;2.909525707;33.55032992;35.58301227;100;;31.0925114
0.059598696;0.108861429;23.13952804;13.1687169;white-lotus;;;;100;;94.52054795;98.63013699;58.63013699;;;;;58.63013699;60;100;;;;;80;;;;80;;;100;100;;7.352941176;22.05882353;;
0.138390486;0.122187348;26.08226875;18.33653632;white-nightmare;;;;93.57031857;;80.01165501;100;;;;73.29059829;;90.65656566;;100;;9.318901795;;;;9.714889124;;;18.63780359;;;28.74868004;8.152173913;;77.58152174;100;2.038043478;6.114130435
0;0;25.5467396;3.597443119;white-og;;37.78172275;;71.9975301;;;48.87310898;;100;;;;36.29978388;;58.07281361;;78.45271072;27.60189949;;;;;;100;;;96.91333597;;1.242829828;90.72657744;100;37.44423199;
0.41;0.412431813;22.08767;11.51818022;white-queen;;;57.21393035;100;;;51.74129353;73.6318408;61.69154229;;;;;;;;14.45783133;;;14.45783133;71.08433735;;;25.30120482;;;100;41.32231405;;14.87603306;100;41.32231405;4.958677686
0.216445132;0.38952562;28.85671492;20.08139192;white-rhino;;;;41.80161297;;;71.91114633;;100;52.04560269;;;37.76153168;43.27695782;46.63585272;;;;;77.2099375;;;;82.32312621;;;100;;13.80851564;37.62055987;100;22.30357563;23.9120207
